Image Master File,New file,Group
https://cdn.amplifi.pattern.com/3c4d3c82-8d43-4020-83c3-c7e5e8ff9c0a,U3BK037499_BRIGHT GREEN_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/b060da8c-1b2c-4821-9789-ee78f4048388,U3GB037360_ORANGE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/3931d853-a51d-4cf0-bdbb-18a89e14b154,U3GK037234_LT. BLUE_Swatch_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/bc09827b-19c3-43d6-a86f-656a0bff14a9,U3BB037553_WHITE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/6e2cd172-4b3b-4c70-87c9-dbe202983ca7,U3GK037232_BRIGHT GREEN_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/97b72354-1eec-462d-a012-aec79a2c686b,U3GK037323_LT. BLUE_Lay Down_Forward-facing_Summer 1 Children 2023.tif,forskye
https://cdn.amplifi.pattern.com/5746fa86-c41e-41f9-88ab-41b6128924e6,F3WR040525_BLACK_On Figure_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/2c1aaec0-eb54-4a19-a637-9beb66eca613,F3WR040472_PEACH MELANGE_On Figure_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/0a9266fe-6de9-4c11-b113-0bbe8c07b4fd,F3WR040186_DUSTY GREEN_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/009babe7-1854-4313-9da0-90b4293f9667,F3WR038901_DK PEACH_On Figure_Rear-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/cc13dbf6-c154-4122-bad3-44ba27766cb8,F3WR040186_DUSTY RED_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/8a3d14d3-c6b4-4c7a-94b7-989aefc386da,F3WR039404_BLACK_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/7ba3ba09-bdd1-49a9-ab67-f83237b53ce3,F3WR038901_DK PEACH_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/1c113b0b-42de-4ba4-88f4-227d7f8810be,F3WR039976_BRIGHT WHITE_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
